id	snip	seed	A-size	A-both	B-size	B-both	C-size	C-both	D-size	D-both
0	1e+06	0	0.5726552190993999	0.1551011616633521	0.46989488635754084	0.08913259492966412	0.3771045793845091	0.05310546276234796	0.1615793437424233	0.007983924667865357
1	900000	0	0.5726758573383169	0.15254929018297753	0.46988720774801634	0.08742201333941904	0.3771377743857099	0.052061169751952706	0.16154241143648726	0.007770941667095711
2	800000	0	0.5727017928939426	0.14947215902591543	0.4698910603821098	0.08561159098155019	0.37713640957194905	0.05100030761525632	0.1615359817034969	0.007619786884328474
3	700000	0	0.5727043276907118	0.14782633093231579	0.46991080169054134	0.08455050866415008	0.3771409414376838	0.050360898071885644	0.16153567311144307	0.0075259159122076135
4	600000	0	0.5727187249751999	0.14509141406728707	0.4698974405303306	0.08288163076210331	0.3771345359563344	0.04921453951206152	0.16154607545352723	0.0073611003232691265
5	500000	0	0.5727353930430452	0.14479950541225153	0.4699007560876319	0.08238602002488613	0.37712532996767406	0.049032032451598095	0.16154923089151765	0.007259131266431513
6	400000	0	0.5727326742286877	0.137883729209157	0.46993853909308303	0.0782037961425169	0.37712094467805735	0.046564900507162305	0.16155546558452	0.006837904685813367
7	300000	0	0.5727198340915365	0.1352946728682821	0.46995149651011475	0.07663046602618079	0.3771231479589459	0.04535264930320495	0.16156335925204965	0.006645739006765458
8	200000	0	0.5727188811489047	0.13605291583455795	0.4699515833574835	0.07703516517358995	0.3771240979459823	0.04556255566752384	0.1615582323497948	0.0066608437068695365
9	100000	0	0.572726186343229	0.12955377707959623	0.46993248690067185	0.0729319602870666	0.3771096284568632	0.04307950610883968	0.1615776926724262	0.006204346396178079
10	90000	0	0.5727235084781719	0.12940767908565068	0.4699347361709996	0.07291611378870502	0.377110354067333	0.04306138706329864	0.16157295697442653	0.0061885665900751835
11	80000	0	0.5727220346794196	0.12996845894253672	0.46992723027086597	0.07331793961227315	0.3771185797429756	0.043145850960352755	0.16158428063281138	0.006282907297863422
12	70000	0	0.5727213182022649	0.12910473685384688	0.46993455923372074	0.07285959992858161	0.3771087137396559	0.043078335674349204	0.16156452317934003	0.006211275958929677
13	60000	0	0.5727237497634684	0.12900827688234423	0.46993587669593684	0.072846026652353	0.37711068950135745	0.04299085982083894	0.16157157682703316	0.0062048619229470294
14	50000	0	0.5727167512980816	0.1287691543266791	0.46993244094742076	0.07254873486613574	0.3771024925300846	0.042717006167889066	0.16157065430759635	0.006199961976383109
15	40000	0	0.5727111026576869	0.1281142276608909	0.4699412512291466	0.07209003764731535	0.3771003561510568	0.04232595904738285	0.16156685533678275	0.006129132660025122
16	30000	0	0.5727001736483451	0.1269987230787776	0.4699367741338494	0.07165519990265326	0.3770974721277198	0.04201205320504682	0.16157273117007168	0.0060782572907826325
17	20000	0	0.5726993997889117	0.1270289648638181	0.46993564770595353	0.07157027473238718	0.37709304525632636	0.04206711503709706	0.1615723570081996	0.0060500173191669615
18	10000	0	0.5727011006768858	0.12556402201672281	0.469934067300829	0.07054037838520966	0.3770983210687874	0.041494875537762974	0.1615703221918244	0.005896374014941771
19	9000	0	0.572699597736493	0.12523777359350965	0.46993726939716735	0.07023376161656605	0.37710242659417126	0.04143707060886525	0.1615656647319261	0.005982717140472333
20	8000	0	0.5726996023416641	0.12517083934918039	0.46993475145896507	0.07050619511494116	0.377101751490075	0.04148682895730791	0.16156814268120173	0.005931876455890706
21	7000	0	0.5726986709479147	0.12526105980779145	0.46993796597862747	0.07024616476181515	0.3771001422685323	0.041339180554183445	0.16156914939248201	0.005936630466990556
22	6000	0	0.5727007555018253	0.12545414451697434	0.46993613203374396	0.07034873636676645	0.37710184980621886	0.0414587919794272	0.16156564568487564	0.00595114209719044
23	5000	0	0.5726944320499343	0.12444651346388179	0.46995055106106554	0.06991801513792845	0.37708981180435575	0.04105166068630492	0.1615699447987861	0.00589506795441388
24	4000	0	0.5726941606437144	0.12384325055250739	0.46994304258696895	0.06966568606322772	0.3770830308381119	0.041056070512716654	0.16157270448275554	0.005856064740909147
